time,open,high,low,close,tick_volume,spread,real_volume
2025-01-20 13:51:00,123740.0,123740.0,123695.0,123705.0,2290,0,20835
2025-01-20 13:52:00,123710.0,123730.0,123675.0,123695.0,2152,0,25449
2025-01-20 13:53:00,123690.0,123755.0,123685.0,123745.0,1577,0,16903
2025-01-20 13:54:00,123745.0,123765.0,123715.0,123740.0,1072,0,11065
2025-01-20 13:55:00,123740.0,123745.0,123700.0,123725.0,1146,0,11226
2025-01-20 13:56:00,123725.0,123745.0,123705.0,123725.0,852,0,8745
2025-01-20 13:57:00,123725.0,123730.0,123695.0,123705.0,721,0,6870
2025-01-20 13:58:00,123705.0,123715.0,123680.0,123710.0,1275,0,11240
2025-01-20 13:59:00,123705.0,123730.0,123705.0,123715.0,758,0,6677
2025-01-20 14:00:00,123720.0,123730.0,123670.0,123670.0,1281,0,14744
2025-01-20 14:01:00,123675.0,123720.0,123670.0,123720.0,990,0,9015
2025-01-20 14:02:00,123720.0,123765.0,123715.0,123745.0,1674,0,19250
2025-01-20 14:03:00,123745.0,123755.0,123725.0,123740.0,830,0,6583
2025-01-20 14:04:00,123740.0,123740.0,123710.0,123710.0,732,0,6502
2025-01-20 14:05:00,123715.0,123715.0,123680.0,123690.0,309,0,2817
2025-01-20 14:06:00,123685.0,123725.0,123685.0,123705.0,830,0,9318
2025-01-20 14:07:00,123705.0,123715.0,123685.0,123700.0,445,0,4940
2025-01-20 14:08:00,123705.0,123705.0,123620.0,123635.0,2658,0,35539
2025-01-20 14:09:00,123635.0,123655.0,123635.0,123650.0,468,0,4397
2025-01-20 14:11:00,123460.0,123470.0,123455.0,123470.0,238,0,1787
2025-01-20 14:12:00,123465.0,123480.0,123405.0,123415.0,2852,0,33495
2025-01-20 14:13:00,123420.0,123460.0,123400.0,123425.0,1766,0,20045
2025-01-20 14:14:00,123425.0,123455.0,123405.0,123440.0,1286,0,11782
2025-01-20 14:15:00,123445.0,123495.0,123415.0,123485.0,1967,0,19613
2025-01-20 14:16:00,123485.0,123510.0,123440.0,123480.0,1869,0,18661
2025-01-20 14:17:00,123475.0,123480.0,123470.0,123475.0,60,0,578
2025-01-20 14:46:00,123790.0,123790.0,123735.0,123735.0,791,0,5233
2025-01-20 14:47:00,123735.0,123795.0,123730.0,123745.0,1818,0,14318
2025-01-20 14:48:00,123740.0,123780.0,123740.0,123755.0,1191,0,8429
2025-01-20 14:49:00,123755.0,123790.0,123735.0,123765.0,1149,0,8959
2025-01-20 14:50:00,123770.0,123785.0,123695.0,123705.0,1812,0,13063
2025-01-20 14:51:00,123705.0,123715.0,123645.0,123685.0,3124,0,28261
2025-01-20 14:52:00,123685.0,123700.0,123665.0,123665.0,1114,0,7463
2025-01-20 14:53:00,123665.0,123750.0,123660.0,123720.0,1731,0,14359
2025-01-20 14:54:00,123720.0,123755.0,123700.0,123740.0,1310,0,10151
2025-01-20 14:55:00,123745.0,123770.0,123690.0,123700.0,1663,0,13649
2025-01-20 14:56:00,123705.0,123730.0,123690.0,123705.0,1020,0,7087
2025-01-20 14:57:00,123700.0,123705.0,123660.0,123695.0,1506,0,10942
2025-01-20 14:58:00,123695.0,123705.0,123670.0,123680.0,903,0,5172
2025-01-20 14:59:00,123680.0,123680.0,123625.0,123640.0,1993,0,14249
2025-01-20 15:00:00,123640.0,123695.0,123635.0,123655.0,1537,0,11019
2025-01-20 15:01:00,123660.0,123665.0,123645.0,123665.0,747,0,4624
2025-01-20 15:02:00,123665.0,123720.0,123660.0,123690.0,1567,0,12908
2025-01-20 15:03:00,123685.0,123705.0,123670.0,123695.0,630,0,3887
2025-01-20 15:04:00,123690.0,123700.0,123615.0,123650.0,1625,0,15316
2025-01-20 15:05:00,123650.0,123675.0,123625.0,123630.0,1261,0,10026
